Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
"Department of Children, Youth, and Famil",Outside Services,Oct-2024,2047177,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Enterprise Services,Hardware,Oct-2024,2033069,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Software,Jul-2024,2031086,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Liquor and Cannabis Board,Software,Mar-2025,2029885,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Licensing,Outside Services,Sep-2024,2023376,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Liquor and Cannabis Board,Software,Aug-2024,1988824,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Attorney General,Internal Services,Oct-2024,1969977,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Outside Services,Jul-2024,1931363,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Software,Dec-2024,1923673,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Licensing,Outside Services,Nov-2024,1901168,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
"Department of Children, Youth, and Famil",Outside Services,Dec-2024,1896942,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Wash State Health Care Authority,Outside Services,Mar-2025,1881854,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Internal Services,Nov-2024,1875314,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Transportation,Outside Services,Jan-2025,1847054,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Dept of Social and Health Services,Outside Services,Jul-2024,1840648,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State University,Software,Nov-2024,1837671,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Other,Aug-2024,1836782,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Internal Services,Aug-2024,1831715,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,External Labor,Jul-2024,1826019,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Enterprise Services,Internal Labor,Jan-2025,1821347,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Attorney General,Software,Oct-2024,1803125,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State University,Software,Jan-2025,1799382,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Outside Services,Sep-2024,1798173,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Administrative Office of the Courts,Outside Services,Dec-2024,1785342,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,Internal Services,Oct-2024,1781026,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Outside Services,Aug-2024,1774762,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Hardware,Feb-2025,1774568,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State University,Software,Dec-2024,1768444,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Outside Services,Oct-2024,1767490,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Internal Labor,Feb-2025,1765056,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Internal Labor,Mar-2025,1763619,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Patrol,Internal Labor,Oct-2024,1758779,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Internal Labor,Aug-2024,1757213,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Patrol,Internal Labor,Jan-2025,1753551,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Patrol,Internal Labor,Dec-2024,1750278,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Patrol,Internal Labor,Nov-2024,1749977,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Patrol,Internal Labor,Sep-2024,1748663,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
University of Washington,Outside Services,Mar-2025,1746403,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Hardware,Oct-2024,1744836,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Internal Labor,Jul-2024,1736716,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Ecology,Internal Labor,Nov-2024,1736200,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Other,Oct-2024,1731702,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Ecology,Internal Labor,Oct-2024,1722334,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Software,Sep-2024,1716127,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
"Department of Children, Youth, and Famil",Outside Services,Feb-2025,1706871,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Hardware,Jan-2025,1699491,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Internal Labor,Oct-2024,1696391,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Employment Security Department,Internal Services,Aug-2024,1684553,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Software,Feb-2025,1683692,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Outside Services,Nov-2024,1677902,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Other,Sep-2024,1671550,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Community/Technical College System,Hardware,Sep-2024,1653149,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Employment Security Department,Outside Services,Dec-2024,1648427,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Software,Jan-2025,1646504,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Software,Nov-2024,1643036,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Internal Labor,Jul-2024,1638422,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Ecology,Internal Labor,Mar-2025,1637685,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Ecology,Internal Labor,Jan-2025,1637175,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Hardware,Sep-2024,1633740,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Social and Health Services,Hardware,Jan-2025,1631567,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Ecology,Internal Labor,Aug-2024,1627069,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State University,Software,Sep-2024,1626015,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Outside Services,Feb-2025,1606820,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Internal Labor,Feb-2025,1606612,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Other,Dec-2024,1605648,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Internal Services,Feb-2025,1599685,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Software,Nov-2024,1587625,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Internal Labor,Sep-2024,1574240,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,Other,Jan-2025,1564513,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Software,Oct-2024,1547552,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Social and Health Services,Hardware,Aug-2024,1546005,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Other,Feb-2025,1542265,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Software,Sep-2024,1530811,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Eastern Washington University,External Labor,Jul-2024,1528707,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Licensing,Internal Services,Mar-2025,1528680,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State University,Software,Feb-2025,1525889,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Hardware,Feb-2025,1517656,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Corrections,Software,Jul-2024,1508959,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Social and Health Services,Internal Services,Jul-2024,1492570,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Internal Services,Aug-2024,1482628,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Community/Technical College System,Hardware,Nov-2024,1462648,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State University,Software,Oct-2024,1455062,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Wash State Health Care Authority,Outside Services,Dec-2024,1444739,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Software,Dec-2024,1441696,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Internal Services,Aug-2024,1441394,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Fish and Wildlife,Internal Services,Jan-2025,1440715,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Fish and Wildlife,Internal Services,Aug-2024,1440524,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Licensing,Internal Labor,Dec-2024,1440380,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Transportation,Hardware,Aug-2024,1438252,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Software,Jan-2025,1433083,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Western Washington University,Software,Sep-2024,1417616,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Licensing,Internal Labor,Feb-2025,1416680,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Corrections,Software,Jan-2025,1416120,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Natural Resources,Hardware,Jan-2025,1414457,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Internal Labor,Mar-2025,1409267,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Licensing,Internal Labor,Nov-2024,1407438,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Licensing,Internal Labor,Oct-2024,1406149,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Licensing,Internal Labor,Sep-2024,1396610,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Internal Services,Jan-2025,1393840,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Internal Labor,Jan-2025,1393465,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Transportation,Outside Services,Mar-2025,1385347,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Internal Services,Jan-2025,1381483,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,Software,Jan-2025,1375239,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Internal Labor,Aug-2024,1372419,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Licensing,Outside Services,Dec-2024,1368022,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Corrections,Internal Services,Sep-2024,1367168,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Mar-2025,1360334,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Financial Management,Hardware,Aug-2024,1358251,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Licensing,Internal Labor,Jul-2024,1358181,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Internal Services,Mar-2025,1358076,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Internal Services,Oct-2024,1356079,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Feb-2025,1353926,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Administrative Office of the Courts,Outside Services,Sep-2024,1345452,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Ecology,Software,Aug-2024,1333531,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Telecom,Dec-2024,1320282,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Ecology,Internal Labor,Dec-2024,1318729,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Software,Jul-2024,1317940,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Hardware,Aug-2024,1307408,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Outside Services,Jan-2025,1307207,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,Outside Services,Oct-2024,1306318,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Administrative Office of the Courts,Software,Sep-2024,1304630,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Outside Services,Sep-2024,1290500,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Oct-2024,1285020,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Corrections,Internal Services,Feb-2025,1266846,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Wash State Health Care Authority,Internal Labor,Mar-2025,1263226,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Patrol,Hardware,Oct-2024,1240227,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Outside Services,Sep-2024,1238425,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Social and Health Services,Hardware,Dec-2024,1237768,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Sep-2024,1234439,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,Hardware,Jul-2024,1230895,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Internal Services,Jul-2024,1230430,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Technology Solutions,Software,Oct-2024,1229540,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,Internal Services,Jan-2025,1219292,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Enterprise Services,Hardware,Aug-2024,1216080,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Financial Management,Telecom,Dec-2024,1214900,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Hardware,Oct-2024,1212828,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Wash State Health Care Authority,Internal Labor,Oct-2024,1203890,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Natural Resources,Internal Services,Oct-2024,1202116,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Wash State Health Care Authority,Internal Labor,Sep-2024,1184669,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Aug-2024,1183736,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Wash State Health Care Authority,Internal Labor,Feb-2025,1178343,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Hardware,Aug-2024,1177774,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
"Department of Children, Youth, and Famil",Outside Services,Nov-2024,1175571,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Hardware,Oct-2024,1169470,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Natural Resources,Internal Services,Jul-2024,1166123,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Natural Resources,Internal Services,Jan-2025,1165997,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,Telecom,Nov-2024,1163580,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Community/Technical College System,Hardware,Jul-2024,1161158,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Wash State Health Care Authority,Internal Labor,Jul-2024,1154517,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Western Washington University,Software,Jul-2024,1149787,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Wash State Health Care Authority,Internal Labor,Nov-2024,1145302,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Internal Services,Feb-2025,1144692,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Labor and Industries,Internal Services,Feb-2025,1141956,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Labor and Industries,Internal Services,Aug-2024,1141840,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Outside Services,Sep-2024,1138940,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Wash State Health Care Authority,Internal Labor,Aug-2024,1138454,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Wash State Health Care Authority,Internal Labor,Dec-2024,1137096,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Corrections,Hardware,Dec-2024,1136989,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Patrol,Software,Mar-2025,1134588,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Western Washington University,Internal Labor,Mar-2025,1134122,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,Internal Labor,Jan-2025,1133061,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Other,Aug-2024,1129681,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Ecology,Software,Nov-2024,1129299,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Telecom,Feb-2025,1128348,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Fish and Wildlife,Internal Labor,Dec-2024,1127059,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Hardware,Aug-2024,1124428,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Patrol,Internal Services,Oct-2024,1122930,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State Patrol,Internal Services,Feb-2025,1119600,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Hardware,Jan-2025,1119000,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Patrol,Internal Services,Aug-2024,1118659,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Internal Services,Dec-2024,1115158,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Wash State Health Care Authority,Internal Labor,Jan-2025,1113519,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Fish and Wildlife,Software,Sep-2024,1113366,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Services,Mar-2025,1111496,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington Technology Solutions,Hardware,Sep-2024,1109377,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Software,Dec-2024,1107708,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Hardware,Sep-2024,1106980,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Internal Labor,Jul-2024,1105348,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Technology Solutions,Internal Services,Sep-2024,1105238,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Services,Sep-2024,1105069,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Services,Nov-2024,1103695,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Community/Technical College System,Hardware,Dec-2024,1100516,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of the Secretary of State,Software,Nov-2024,1099540,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Telecom,Oct-2024,1097604,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,Telecom,Jan-2025,1097198,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
